date, GNP, Per Capita, Growth Rate
12/31/1960,0,0,0
12/31/1961,0,0,0
12/31/1962,0,0,0
12/31/1963,0,0,0
12/31/1964,0,0,0
12/31/1965,0,0,0
12/31/1966,0,0,0
12/31/1967,0,0,0
12/31/1968,0,0,0
12/31/1969,0,0,0
12/31/1970,0,0,0
12/31/1971,0,0,0
12/31/1972,0,0,0
12/31/1973,0,0,0
12/31/1974,0,0,0
12/31/1975,0,0,0
12/31/1976,0,0,0
12/31/1977,0,0,0
12/31/1978,0,0,0
12/31/1979,0,0,0
12/31/1980,0,0,0
12/31/1981,0,0,0
12/31/1982,0,0,0
12/31/1983,0,0,0
12/31/1984,0,0,0
12/31/1985,0,0,0
12/31/1986,0,0,0
12/31/1987,0,0,0
12/31/1988,0,0,0
12/31/1989,14.153947053934,220,0
12/31/1990,8.5284347907278,130,0
12/31/1991,7.5691868676414,110,0
12/31/1992,9.2214077714414,130,0
12/31/1993,11.664291502963,160,0
12/31/1994,14.012882406224,190,0
12/31/1995,18.666478229373,250,0
12/31/1996,22.65469680122,300,8.6095
12/31/1997,25.824451836482,340,7.4604
12/31/1998,26.759132281367,350,5.1251
12/31/1999,27.962757382123,360,5.1743
12/31/2000,30.203568807265,380,7.1684
12/31/2001,32.18635525115,400,6.2796
12/31/2002,34.037168531349,420,6.0459
12/31/2003,38.120159468188,470,6.9513
12/31/2004,44.41541889807,540,7.2403
12/31/2005,52.884327648856,640,7.5305
12/31/2006,61.119346894284,730,6.6407
12/31/2007,71.581154273405,840,6.4771
12/31/2008,84.934003166629,990,5.4427
12/31/2009,96.710386627408,1120,4.0807
12/31/2010,119.48404792709,1370,7.4083
12/31/2011,144.21714811473,1630,6.666
12/31/2012,176.78460829606,1980,5.0328
12/31/2013,198.88293401515,2200,5.3203
12/31/2014,218.73811395974,2400,5.9889
12/31/2015,228.39837312337,2480,5.6611
12/31/2016,240.48578201545,2580,6.0942
12/31/2017,255.47790684359,2720,6.2084
12/31/2018,290.78441385974,3060,8.5092
12/31/2019,319.51186895163,3340,7.4425
12/31/2020,333.82870528198,3450,3.7239
12/31/2021,350.2091701654,3590,1.6518
12/31/2022,393.94393883522,4010,8.3204
